doc_id,canonical_filename,canonical_path,title,year,doi,geo_scope,metadata_confidence,metric_bucket_primary,metric_bucket_secondary,sha256_hash,file_size_bytes,original_filename,source_folder
KCDI000011,kcdi000011_2009_review_jellyfish_aggregations_focusing.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000011_2009_review_jellyfish_aggregations_focusing.pdf,"A review of jellyfish aggregations, focusing",2009,10.1186/s13717-020-00268-zswarming,India-transferable,high,Unknown,,a996083b50235de088c0b1997315e38e515ea4389d01bec2e7936a16f9c79159,1673992,A review of jellyfish aggregations focusing on Indias coastal waters_W3096741536.pdf,Metrics_Corpus
KCDI000012,kcdi000012_2009_review_trends_and_crime_patterns_arson.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000012_2009_review_trends_and_crime_patterns_arson.pdf,A Review of Trends and Crime Patterns of Arson,2009,10.21203/rs.3.rs-602057/v2,India-transferable,high,Crime & Safety,,0bf5926ada404a34fead7d7555710cf385588e038f43115a1ffd064d8eb16dbf,503472,A Review of Trends and Crime Patterns of Arson Offences in India 2009-2018_W3172161305.pdf,Metrics_Corpus
KCDI000013,kcdi000013_2014_star_attraction_the_illegal_trade_indian_star_tortoises.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000013_2014_star_attraction_the_illegal_trade_indian_star_tortoises.pdf,A star attraction: The illegal trade in Indian Star Tortoises 1,2014,10.3897/natureconservation.13.5625,India-transferable,high,Unknown,,c05bba1ae79eca429a6d7abc689b61c6b6a5b0c91bc52d33a93a28e2229873ed,2346193,A star attraction The illegal trade in Indian Star Tortoises_W2173815716.pdf,Metrics_Corpus
KCDI000014,kcdi000014_2016_international_ournal_research_medical_sciences_december_2016_vol_issue_page.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000014_2016_international_ournal_research_medical_sciences_december_2016_vol_issue_page.pdf,International J ournal of Research in Medical Sciences  | December 2016 | Vol 4 | Issue 12    Page 5149,2016,10.18203/2320,Thiruvananthapuram,high,Unknown,,040e14f8e718405afe269b8c92d92925543cba0c45a10f45e1e6277aee8c588a,405998,A study of clinical profile of cardiac dysfunction in patients with HIV infection_W2548050379.pdf,Metrics_Corpus
KCDI000015,kcdi000015_2020_issn_print_0974_6846.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000015_2020_issn_print_0974_6846.pdf,ISSN (Print) : 0974-6846,2020,10.17485/ijst/2020/v13i06/149831,Kerala,high,Unknown,,c4d4cddddf0686a4cd64060aa087de6fecc22cfa50f85b688576b5af6bda5ba7,562886,A Study of the Impact of Recent Floods on the Micro Small and Medium Business Enterprises of Kerala_W3042662659.pdf,Metrics_Corpus
KCDI000016,kcdi000016_2020_study_investor_buying_behavior_and_financial.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000016_2020_study_investor_buying_behavior_and_financial.pdf,A Study on Investor Buying Behavior and Financial,2020,10.21203/rs.3.rs-104974/v1,India-transferable,high,Education Levels & Literacy,,c6e226d1fe0b164130ae273c60ad96b5a484897f166f5530a50c17b4ed2f0b8c,649488,A Study on Investor Buying Behavior and Financial Literacy in Urban India_W3158492225.pdf,Metrics_Corpus
KCDI000017,kcdi000017_2021_corresponding_author.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000017_2021_corresponding_author.pdf,* Corresponding author.,2021,10.5267/j.ac.2020.11.001,Kerala,high,Tax Revenue & Municipal Finance,,53b0169fe5fb179a2d423f187e8b1fb36bc33be7092d1f2042e1cb2e27c12263,375708,A study on Islamic finance as an approach for financial inclusion in India_W3111174954.pdf,Metrics_Corpus
KCDI000018,kcdi000018_2024_edelweiss_applied_science_and_technology.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000018_2024_edelweiss_applied_science_and_technology.pdf,Edelweiss Applied Science and Technology,2024,10.55214/25768484.v8i6.3231,Kerala,high,Unknown,,6e9a96cd5dd62763c316735ff9463577657836baf6e1a361e7230e69a6249baf,481487,A study on occupational stress of police women employees in Kerala_W4404620839.pdf,Metrics_Corpus
KCDI000019,kcdi000019_2020_international_journal_management_technology_and_social.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000019_2020_international_journal_management_technology_and_social.pdf,"International Journal of Management, Technology, and Social",2020,10.5281/zenodo.4007485,Kerala,high,Unknown,,0fa3a445816c7a411ae5e26796534aaf957aa05fe08f70cabd54b14e584978c2,105244,A Study on Significance of Backwater Tourism and Safe Houseboat Operation in Kerala_W3090720451.pdf,Metrics_Corpus
KCDI000020,kcdi000020_2006_systematic_review_rfid_applications_and.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000020_2006_systematic_review_rfid_applications_and.pdf,A systematic review of RFID applications and,2006,10.1186/s40852-015-0010-zWe,Unknown,high,Unknown,,4a87125ffab23f1911a81b029830af49899c7b73d0975a04630bcac7276f8763,833156,A systematic review of RFID applications and diffusion key areas and public policy issues_W2123516445.pdf,Metrics_Corpus
KCDI000021,kcdi000021_2022_published_may_2022.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000021_2022_published_may_2022.pdf,published: 06 May 2022,2022,10.3389/fsoc.2022.886498,Unknown,high,Unknown,,817a185bfcdb745cd011536445f5298216df566762f4c2fceca7d73555ddd7ae,1519610,A Topic Modeling Comparison Between LDA NMF Top2Vec and BERTopic to Demystify Twitter Posts_W4229011615.pdf,Metrics_Corpus
KCDI000022,kcdi000022_2016_adoption_kerala_agricultural_university_recommended.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000022_2016_adoption_kerala_agricultural_university_recommended.pdf,Adoption of Kerala Agricultural University Recommended,2016,,Thiruvananthapuram,med,Unknown,,369b7bfcd40c9b6f9971ada73f7be9d46785cbc001423371b007cd7b02fc52b3,893942,Adoption of Kerala Agricultural University Recommended Practices of Amaranthus and Vegetable Cowpea_W2605409614.pdf,Metrics_Corpus
KCDI000023,kcdi000023_2019_https_doi_org_22214_ijraset_2019_4212international_journal_for_research.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000023_2019_https_doi_org_22214_ijraset_2019_4212international_journal_for_research.pdf,https://doi.org/10.22214/ijraset.2019.4212International Journal for Research in Applied Science & Engineering Technology (IJRASET ),2019,10.22214/ijraset.2019.4212International,Kerala,high,Crime & Safety,,e6b8596e7eca18ebeea98c8222510ac99f80f971897ba5f5f10758ff9ffaecc4,1450736,Advanced Road Safety for Ghat Roads at Amboli_W2971485929.pdf,Metrics_Corpus
KCDI000024,kcdi000024_2016_asian_journal_social_and_human_sciences_2016_vol.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000024_2016_asian_journal_social_and_human_sciences_2016_vol.pdf,"Asian Journal of Social and Human Sciences , 2016, Vol. 1, Is. (2)",2016,,Kerala,med,Unknown,,16fa05bb5163157663bf438d31b409974a83928f8ee563bc83025d6b7be867f9,477702,Agrarian Crisis India An aftermath of the New Economic Reforms_W2625180834.pdf,Metrics_Corpus
KCDI000025,kcdi000025_2020_air_pollution_improvement_and_mortality_rate_during_covid.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000025_2020_air_pollution_improvement_and_mortality_rate_during_covid.pdf,Air pollution improvement and mortality rate during COVID-19,2020,10.1007/s11869-020-00892-w,India-transferable,high,Life Expectancy & Mortality,,8fc65454ff1d0cc18f2d0b8e67fe2600a3462d1b56bee5334aa2da4c950ec8ea,1649051,Air pollution improvement and mortality rate during COVID-19 pandemic in India global intersectional_W3048403181.pdf,Metrics_Corpus
KCDI000026,kcdi000026_2020_vol_0123456789_applied_sciences_2020_1327_https_doi_org_1007.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000026_2020_vol_0123456789_applied_sciences_2020_1327_https_doi_org_1007.pdf,Vol.:(0123456789)SN Applied Sciences (2020) 2:1327 | https://doi.org/10.1007/s42452-020-3120-6,2020,10.1007/s42452-020-3120-6,India-transferable,high,Unknown,,80123a5b4f2f44be277a92734f4715b73f2f7f318734c5d1f12abf67e4435d8f,1649767,Air pollution tolerance index APTI and expected performance index EPI of trees in sambalpur town of _W3039831363.pdf,Metrics_Corpus
KCDI000027,kcdi000027_2021_published_december_2021.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000027_2021_published_december_2021.pdf,published: 20 December 2021,2021,10.3389/fpsyg.2021.699726,India-transferable,high,Crime & Safety,,e924ae02c5ed9d79472407efd505953799e94592053c9989b1fb740f84688a20,830172,Alcohol Aggression and Violence From Public Health to Neuroscience_W4200154992.pdf,Metrics_Corpus
KCDI000028,kcdi000028_fwm_kzn_tkzmo_oky_yok.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000028_fwm_kzn_tkzmo_oky_yok.pdf,Fwm{s{w kzn €ul€tkzmo u€oky{zr qt~€t/yok~,,,Unknown,low,Unknown,,41e019038d15350582664ecdfb99e52fc96aaa8237796f6b26889f1cc1314511,732552,Alcohol and substance use among first-year students at the University of Nairobi Kenya Prevalence an_W3081579134.pdf,Metrics_Corpus
KCDI000029,kcdi000029_2026_international_review_management_and.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000029_2026_international_review_management_and.pdf,International Review of Management and,2026,10.32479/irmm.20829,Kerala,high,Employment & Labor Market,,7d5d77baa2675461a27aab8d887eab3e0d8b59681e727d3f3b79fab8821e7289,829418,Aligning Skills with Industry 40 An Exploratory Study of IT Workforce Challenges in Kerala India_W4416121362.pdf,Metrics_Corpus
KCDI000030,kcdi000030_.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000030_.pdf,,,,Unknown,low,Unknown,,ef17735febef83b72700f0d70749b0a61d44950eb0757fe8c72b581a8db7538e,22375,An Assessment of Green Marketing Tools and Strategies for Increasing the Consumption Pattern of Khad_W4386691294.pdf,Metrics_Corpus
KCDI000031,kcdi000031_2020_munich_personal_repec_archive.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000031_2020_munich_personal_repec_archive.pdf,Munich Personal RePEc Archive,2020,,Kerala,med,Utility Reliability,,b2317ef8dfb9c82cabc125de5121b70f037b845a01b571bcb20490c433467afd,300369,An economic analysis of electricity consumption in Kerala with special reference to kalamassery muni_W3040858502.pdf,Metrics_Corpus
KCDI000032,kcdi000032_2030_research_article_open_access.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000032_2030_research_article_open_access.pdf,RESEARCH ARTICLE Open Access,2030,10.1186/s12905-020-01083-6Background,India-transferable,high,Unknown,,f6981cc4845e21e620abf2b07deef0e3fc216198decfe96f04281aea8b02294b,5754046,An epidemiological study of cervical and breast screening in India district-level analysis_W3092054591.pdf,Metrics_Corpus
KCDI000033,kcdi000033_2021_transactions_transport_sciences_vol_202112.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000033_2021_transactions_transport_sciences_vol_202112.pdf,Transactions on Transport Sciences | Vol. 1/202112,2021,10.5507/tots.2021.001,India-transferable,high,Crime & Safety,,cce7c87a20b6d0df437acd09991bc7ea99c8138487bc768284cd321ee13e80e8,258346,Analysis of driver behaviours towards road safety measures using DBQ in the Indian context_W3160689624.pdf,Metrics_Corpus
KCDI000034,kcdi000034_2018_ann_based_short_term_traffic_flow.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000034_2018_ann_based_short_term_traffic_flow.pdf,ANN based short‑term traffic flow,2018,10.1186/s40537,India-transferable,high,Road Congestion & Traffic,,d47ca06b65638aaa0fb56d97e60279e35010fc1588f2fc937eb5e07a1a035ae8,1195520,ANN based short-term traffic flow forecasting in undivided two lane highway_W2904262414.pdf,Metrics_Corpus
KCDI000035,kcdi000035_2019_issn_2283_7949_glocalism_journal_culture_politics_and_innovation_2019.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000035_2019_issn_2283_7949_glocalism_journal_culture_politics_and_innovation_2019.pdf,"ISSN 2283-7949 GLOCALISM: JOURNAL OF CULTURE, POLITICS AND INNOVATION 2019, 1, DOI: 10.12893/gjcpi.2019.1.6 Published online by “Globus et Locus” at https://glocalismjournal.org  Some rights reserved",2019,10.12893/gjcpi.2019.1.6,Kerala,high,Unknown,,3f41ad49e416b9f3e48ae3e84a279236c2e540aa3720e9b2dc2999e8b4b3bb1b,310565,Anti-Displacement Movement and Development Democracy a Study on Keezhattur Protest in Kerala_W4391645488.pdf,Metrics_Corpus
KCDI000036,kcdi000036_2021_2394_5311_jacs_directory_2021_all_rights_reserved.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000036_2021_2394_5311_jacs_directory_2021_all_rights_reserved.pdf,2394 -5311  / JACS Directory©2021 . All Rights Reserved,2021,10.30799/jacs.233.21070103,India-transferable,high,Unknown,,bbdbecbabd2f309d40dea4d9d95d4b0b59e2ef4dd29c1bb3b7664c4cd9290465,1037050,Anticounterfeiting Technology  A Luminescent Path Short Review_W3135061134.pdf,Metrics_Corpus
KCDI000037,kcdi000037_2017_indian_fish_2017.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000037_2017_indian_fish_2017.pdf,"Indian J. Fish., 64(1): 66-71, 2017",2017,10.21077/ijf.2017.64.1.46875-11,Thiruvananthapuram,high,Unknown,,0f076f58db6cb7038b3e5111f805430753fe58b5c487171b44184bb1ce260041,449655,Appraisal of the socio-economic status of fishers among the different sectors in Kerala south-west c_W2604355935.pdf,Metrics_Corpus
KCDI000038,kcdi000038_2022_ijacsa_international_journal_advanced_computer_science_and_applications.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000038_2022_ijacsa_international_journal_advanced_computer_science_and_applications.pdf,"(IJACSA) International Journal of Advanced Computer Science and Applications,",2022,,India-transferable,med,Crime & Safety,,e3d0fe4f048ab8131ab75d05944507c9e898785aadb08459726bcb63cf44d723,727621,Assaying the Statistics of Crime Against Women in India using Provenance and Machine Learning Models_W4289865923.pdf,Metrics_Corpus
KCDI000039,kcdi000039_2012_assessing_mortality_registration_kerala.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000039_2012_assessing_mortality_registration_kerala.pdf,Assessing mortality registration in Kerala:,2012,10.1186/s41118-021-00149-z,Kerala,high,Life Expectancy & Mortality,,0257d7da053b401592afe2eb1a070c4efba861647929036bfe6ec92ac80d0c42,1175161,Assessing mortality registration in Kerala the MARANAM study_W4205573541.pdf,Metrics_Corpus
KCDI000040,kcdi000040_2020_int_curr_microbiol_app_sci_2020_1946_1950.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000040_2020_int_curr_microbiol_app_sci_2020_1946_1950.pdf,Int.J.Curr.Microbiol.App.Sci (2020) 9(11): 1946 -1950,2020,10.20546/ijcmas.2020.911.230,Kerala,high,Unknown,,ae4ad4e5a165153ddc88c3f610afd8437f86067bc2a950f87524d5f1ae3badb9,288691,Assessing the Environmental Awareness among the Farmers of Namakkal District about the Eco-Friendly _W3133138536.pdf,Metrics_Corpus
KCDI000041,kcdi000041_2015_methodology_open_access.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000041_2015_methodology_open_access.pdf,METHODOLOGY Open Access,2015,10.1186/s12992-016-0164-xworkshop,Unknown,high,Major Illness & Health,,8427f09b371f1b3b745cc0677c246ca5ccb208b8f290a839751a2042029bdf7d,1104090,Assessing the health impact of transnational corporations its importance and a framework_W2426801132.pdf,Metrics_Corpus
KCDI000042,kcdi000042_2017_aarjmd_volume_issue_febr_uary_2017_issn_2319_2801.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000042_2017_aarjmd_volume_issue_febr_uary_2017_issn_2319_2801.pdf,AARJMD   VOLUME  4         ISSUE  2        (FEBR UARY 2017 )          ISSN  : 2319 - 2801,2017,,Thiruvananthapuram,med,Unknown,,6bd2b9ec27f48b5bb948d2908b62c4e5756f1647926bd9b1e794b86ee27f971b,760242,Assessing the Socioeconomic profile of a vulnerable coastal fishing village in India_W2602441461.pdf,Metrics_Corpus
KCDI000043,kcdi000043_2016_assessment_groundwater_potential_zones_using.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000043_2016_assessment_groundwater_potential_zones_using.pdf,Assessment of groundwater potential zones using,2016,10.1007/s13201-017-0571-zvarious,India-transferable,high,Unknown,,037add7d6e7dfb9226b0b63eeda50b15c15c3747c157ff535234763c06f7532f,12712098,Assessment of groundwater potential zones using multi-influencing factor MIF and GIS a case study fr_W2613187914.pdf,Metrics_Corpus
KCDI000044,kcdi000044_2017_international_journal_comm_unity_medicine_and_public_health_march_2017.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000044_2017_international_journal_comm_unity_medicine_and_public_health_march_2017.pdf,International Journal of Comm unity Medicine and Public Health | March 2017 | Vol 4 | Issue 3    Page 841 International Journal of Community Medicine and Public Health,2017,,Kerala,med,Major Illness & Health,,6a0cefc62495674ab06f886281fd667cd730c47da1066821d330cfd43a6a64f8,385826,Assessment of quality of life of stroke survivors in a rural area of North Kerala India_W2589183722.pdf,Metrics_Corpus
KCDI000045,kcdi000045_2022_d174_civil_engineering_transport_review_article.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000045_2022_d174_civil_engineering_transport_review_article.pdf,D174  Civil Engineering in Transport  REVIEW ARTICLE,2022,10.26552/com.C.2022.4.D174-D182ISSN,India-transferable,high,Road Congestion & Traffic,,f23c84b5b366fb1638e2474fc6aa97ad2bfedf7b307163abab63dfad037ec549,1005136,Assessment of Traffic Congestion under Indian Environment - a Case Study_W4297338610.pdf,Metrics_Corpus
KCDI000046,kcdi000046_2020_international_journal_mosquito_research_2020.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000046_2020_international_journal_mosquito_research_2020.pdf,International Journal of Mosquito Research  2020; 7(6): 46-50,2020,10.22271/23487941.2020.v7.i6a.488,Thiruvananthapuram,high,Unknown,,49c6a765db599893e9e9069b3881d14a439c790e61f26bbe8d100de70b8d41c7,502198,Association between rainfall and the prevalence of clinical cases of dengue in Thiruvananthapuram di_W3127118825.pdf,Metrics_Corpus
KCDI000047,kcdi000047_2030_association_multidimensional_poverty.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000047_2030_association_multidimensional_poverty.pdf,Association of multidimensional poverty,2030,10.1186/s12889-021-12149-xIntroduction,Kerala,high,Unknown,,33908fa9c87dc369231deb015968f6c50e41a914e7a69f53f43a656f61668372,1967192,Association of multidimensional poverty and tuberculosis in India_W3213802611.pdf,Metrics_Corpus
KCDI000048,kcdi000048_.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000048_.pdf,,,,Unknown,low,Major Illness & Health,,5fce70b3d4fada9087094f0cc6bc49e5ba42b399db98a03e6c17a7b1ad3415d7,441776,Association of socioeconomic status with cardiovascular disease and cardiovascular risk factors a sy_W4317673893.pdf,Metrics_Corpus
KCDI000049,kcdi000049_2015_research_article_open_access.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000049_2015_research_article_open_access.pdf,RESEARCH ARTICLE Open Access,2015,10.1186/s40360-015-0043-8Background,Kerala,high,Major Illness & Health,,9e45e5c503be0d6842dce4692a7fd8e8d7f9dad688e5ffcf4235592021f0a656,1007020,Availability of medicines in public sector health facilities of two North Indian States_W2268578454.pdf,Metrics_Corpus
KCDI000050,kcdi000050_2005_battered_women_the_gendered.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000050_2005_battered_women_the_gendered.pdf,BATTERED WOMEN: THE GENDERED,2005,,India-transferable,med,Unknown,,025fedfd2e3d7c2512ab0a85ab040fcc8f2d40d8a8664c57c0ea424dc32317c5,2770916,Battered Women The Gendered Notion of Defences Available_W4396237184.pdf,Metrics_Corpus
KCDI000052,kcdi000052_2019_1874_4478_send_orders_for_reprints_reprints_benthamscience_net.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000052_2019_1874_4478_send_orders_for_reprints_reprints_benthamscience_net.pdf,1874-4478/19 Send Orders for Reprints to reprints@benthamscience.net,2019,10.2174/1874447801913010041,Thiruvananthapuram,high,Unknown,,435bb0b2e487a0b6a1350a8b0e35124d04b303fb9b090405337c3a52a5941878,2786114,Bus Passenger Demand Modelling Using Time-Series Techniques- Big Data Analytics_W2945402189.pdf,Metrics_Corpus
